Token Name,Symbol,Address,Balance,Price (USD),Total Value (USD)
Metaplex Token,MPLX,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,817613.171089,0.300500,245692.757912
Solana,SOL,native SOL,814.969153,206.280000,168111.836965
Pyth Network,PYTH,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,399995.95,0.240000,95999.028000
Goatseus Maximus,GOAT,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,307695.59163,0.145700,44831.247700
Pesto the Baby King Penguin,PESTO,34a8ALsPmbWxp7D3bQ6erERrCLz1ahr6u6o66Udmpump,3359025.722622,0.001035,3476.591623
Comedian,Ban,9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump,104199.989941,0.030110,3137.461697
ai16zeliza,eliza,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,933906.482293,0.001864,1740.801683
Gary Gonesler,GONESLER,CUb1Jek3hTuQ38dTTDzQhR78PF4w3naMyG4UgemPpump,4979327.304101,0.000051,253.995486
Aurora,Aurora,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,755920.780549,0.000220,166.000203
Infinity,INF,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,0.008430552,264.190000,2.227268
Nothing,VOID,6gh8b2mqUrVb6Ew8Mwt89tNyN9keCDNstzT5cdp5pump,5297.29573,0.000244,1.289892
AIDE,AIDE,6MhvExQZPnvY1R13kwq4DSVotf7PMtXnELJ4JLG4pump,29.965,0.005751,0.172329
bioRxiv,bioRxiv,7aJs6HyF4tgsCmMPX2YAh9YhBHzfr8AZSBnePZwbpump,8888.0,0.000013,0.112433
The DogeFather ,DOGEFATHER,MTMPGsXVf8NWcUcEekJLFtqEF6YK6LBysj65raUpump,499.0,0.000013,0.006352
Golden Dog,GDOG,9YX6TR6X6gCmMhyVyZ43WX5hW6NahNXUqGm8d4wdxQKW,10.0,0.000535,0.005355
SKAINET,SKAI,4Qur8tvJG195EXmhsuPvpa3qmMiAugtbDaoGwVGV6oJD,10.0,0.000482,0.004817
ItCoin,ItCoin,2XtSgw4gvobnNMSGRQrPAnPCgeb7ztZdrcdkdZwAVF7d,11.0,0.000203,0.002232
DeepSeek,DeepSeek,AjuvuBareHvbQ1nmbvFkSkAWAqjvZRMLwG6DUukUpump,100.0,0.000019,0.001915
Unknown Token,UNKNOWN,74hkeKEW8qCFM7ehpCJ3f8aTY4zrwoKh6BzV2inxpump,1592.0,0.000000,0.000000
Unknown Token,UNKNOWN,A77hhA2wqMsvRLAAYwrd1D6ugAWRw9AzypdwBA5hpump,12219.48,0.000000,0.000000
Jito Staked SOL,JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,0.0,242.120000,0.000000
Unknown Token,UNKNOWN,771xBqKnQ4UGWoY1YRnHZH22vyQ6dhwyn4EBDK452TZd,0.01,0.000000,0.000000
GIGACHAD,GIGA,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,0.0,0.045840,0.000000
,,,,,
,,,,,
,,,,,
TOTAL,,,,,563413.543862
